Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
9/20/2007,125000,131000,130000,131000,794790,158820,963.61,13815.55957,0
9/21/2007,131000,137000,135000,137000,1224660,641840,958.67,13766.7002,0
9/24/2007,137000,143000,143000,143000,551130,1024220,975.82,13820.19043,20000
9/25/2007,143000,150000,148000,150000,962110,813400,1009.88,13759.05957,0
9/26/2007,150000,157000,154000,157000,781900,155500,1015.91,13778.65039,0
9/27/2007,157000,157000,150000,150000,562590,-459780,1014.09,13878.15039,0
9/28/2007,150000,157000,153000,157000,833570,334560,1046.86,13912.94043,0
10/1/2007,157000,164000,163000,164000,781020,185100,1084.39,13895.62988,0
10/2/2007,164000,172000,168000,172000,887990,418190,1099.48,14087.54981,0
10/3/2007,172000,180000,179000,180000,1027610,696760,1106.6,14047.30957,0
10/4/2007,180000,189000,189000,189000,1206640,690630,1087.76,13968.04981,25000
10/5/2007,189000,198000,189000,193000,1116040,-281460,1081.63,13974.30957,0
10/8/2007,193000,197000,189000,193000,949940,523170,1084.87,14066.00977,0
10/9/2007,193000,190000,184000,184000,527100,-646390,1097.36,14043.73047,0
10/10/2007,184000,188000,183000,184000,599460,-69550,1104.67,14164.53027,0
10/11/2007,184000,183000,179000,179000,362850,-193040,1099.31,14078.69043,0
10/12/2007,179000,180000,177000,180000,527800,414670,1104.61,14015.12012,0
10/15/2007,180000,185000,180000,185000,326950,252470,1105.21,14093.08008,0
10/16/2007,185000,185000,181000,181000,236970,-267310,1103.88,13984.79981,0
10/17/2007,181000,180000,178000,178000,272570,-81120,1101.29,13912.94043,0
10/18/2007,178000,182000,175000,175000,398500,-119310,1088.68,13892.54004,0
10/19/2007,175000,183000,178000,183000,525830,78660,1097.07,13888.95996,0
10/22/2007,183000,180000,178000,180000,280000,-216260,1085.74,13522.01953,30000
10/23/2007,180000,178000,175000,175000,192730,-36130,1075.29,13566.96973,0
10/24/2007,175000,180000,175000,177000,182750,56440,1096.2,13676.23047,0
10/25/2007,177000,178000,174000,174000,163650,-85260,1095.53,13675.25,27000
10/26/2007,174000,173000,171000,171000,212630,-126090,1092.48,13671.91992,0
10/29/2007,171000,167000,163000,163000,457260,-170340,1064.2,13806.7002,0
10/30/2007,163000,166000,163000,164000,146250,86840,1069.78,13870.25977,0
